streetAddress,addressLocality,addressRegion,postalCode,link,store
2473 Hackworth Rd,Adamsville,AL,35214,https://www.walmart.com/store/1158,Walmart
2643 Highway 280,Alexander City,AL,35010,https://www.walmart.com/store/726,Walmart
1991 M. L. King Jr.,Andalusia,AL,36420,https://www.walmart.com/store/1091,Walmart
5560 Mcclellan Blvd,Anniston,AL,36206,https://www.walmart.com/store/329,Walmart
1450 No. Brindlee Mt,Arab,AL,35016,https://www.walmart.com/store/306,Walmart
1011 Us Highway 72 E,Athens,AL,35611,https://www.walmart.com/store/661,Walmart
911 N Main St,Atmore,AL,36502,https://www.walmart.com/store/7247,Walmart
973 Gilbert Ferry Rd Se,Attalla,AL,35954,https://www.walmart.com/store/316,Walmart
701 Mcmeans Ave,Bay Minette,AL,36507,https://www.walmart.com/store/2739,Walmart
750 Academy Dr,Bessemer,AL,35022,https://www.walmart.com/store/764,Walmart
1972 Hwy 431,Boaz,AL,35957,https://www.walmart.com/store/298,Walmart
10675 Highway 5,Brent,AL,35034,https://www.walmart.com/store/425,Walmart
2578 Douglas Ave,Brewton,AL,36426,https://www.walmart.com/store/1620,Walmart
5100 Highway 31,Calera,AL,35040,https://www.walmart.com/store/3271,Walmart
1950 W Main St,Centre,AL,35960,https://www.walmart.com/store/5126,Walmart
16077 Highway 280,Chelsea,AL,35043,https://www.walmart.com/store/4330,Walmart
1415 7th St S,Clanton,AL,35045,https://www.walmart.com/store/424,Walmart
27520 Us Highway 98,Daphne,AL,36526,https://www.walmart.com/store/934,Walmart
969 Us Highway 80 W,Demopolis,AL,36732,https://www.walmart.com/store/731,Walmart
600 Boll Weevil Cir,Enterprise,AL,36330,https://www.walmart.com/store/734,Walmart
3176 S Eufaula Ave,Eufaula,AL,36027,https://www.walmart.com/store/1638,Walmart
10040 County Road 48,Fairhope,AL,36532,https://www.walmart.com/store/4333,Walmart
3186 Highway 171 N,Fayette,AL,35555,https://www.walmart.com/store/1052,Walmart
2200 S Mckenzie St,Foley,AL,36535,https://www.walmart.com/store/904,Walmart
2001 Glenn Blvd Sw,Fort Payne,AL,35968,https://www.walmart.com/store/691,Walmart
